Simulacion,Media_NN_CSR_m
1,1.589618272077626
2,1.21211873810664
3,1.3569725776618922
4,1.4751209247606532
5,1.4139105333605504
6,1.3520531305902008
7,1.3542007287542228
8,1.3093864373576038
9,1.293078448901864
10,1.353680625907853
11,1.2609892740800321
12,1.3161402838570704
13,1.2586580434476533
14,1.4183826562680375
15,1.4351647555607585
16,1.49264969904594
17,1.2598672158613704
18,1.5080002154544423
19,1.4267560254698246
20,1.3696235902666771
21,1.3372801541562058
22,1.3193824056203487
23,1.4708891481691564
24,1.351899086577967
25,1.284236544104654
26,1.4099839472932356
27,1.3534441478969463
28,1.3287750435037196
29,1.3050625525463713
30,1.370512278881526
31,1.4223196406959335
32,1.0919634141524026
33,1.3453452240761774
34,1.7151345474048187
35,1.523554636226206
36,1.3155223725362348
37,1.4468540353264785
38,1.4906104101893671
39,1.4182148312274048
40,1.4566328585510488
41,1.1890836585563307
42,1.5307531610503389
43,1.4468891074395869
44,1.3692419096899688
45,1.5078945122911194
46,1.4842755502457388
47,1.2980796360288245
48,1.354654945881976
49,1.31282278333853
50,1.3397735966241422
51,1.4096406567400688
52,1.4133032709157212
53,1.0640050741030376
54,1.3321004469023539
55,1.5539819096797705
56,1.3913149220114482
57,1.2417785519285574
58,1.4789492626817478
59,1.317065535382406
60,1.4067236172377673
61,1.5075348131781743
62,1.403224323700673
63,1.24069056010501
64,1.215565662770799
65,1.2903018592149644
66,1.2812299515746517
67,1.3457589245601296
68,1.6306845297560035
69,1.319213106813596
70,1.4276028898339905
71,1.342257901758631
72,1.3748164374588074
73,1.4893392929490061
74,1.2816220685744004
75,1.5009503524343597
76,1.2569487655400795
77,1.2423515054962273
78,1.3964543333863308
79,1.3864367816942547
80,1.5251968111001357
81,1.4557304619896705
82,1.381668659284986
83,1.373243063457128
84,1.3648649516420905
85,1.6004512155825588
86,1.3033586074834203
87,1.5014881573623697
88,1.3988015790366355
89,1.364152475380987
90,1.3253942301542982
91,1.2928347335758426
92,1.3555805761316726
93,1.3821776622690283
94,1.3264094253097007
95,1.3310885243353008
96,1.4477935297061713
97,1.292674584448303
98,1.460156175610895
99,1.4514694963604011
100,1.341909894628336
101,1.4821915407794148
102,1.417599467419262
103,1.4053606634600815
104,1.2747970841659748
105,1.399768521507195
106,1.3568533747782388
107,1.394776485981582
108,1.3455817942180635
109,1.394580911730093
110,1.4587460817459112
111,1.4633604415469603
112,1.3302489971458573
113,1.468412562157664
114,1.5129648368284496
115,1.318930949420423
116,1.2280087694575
117,1.4024559715148304
118,1.5198234511437654
119,1.5074647430288388
120,1.5920647900334537
121,1.426325779712435
122,1.308331492383813
123,1.3206326568761897
124,1.5745324335145179
125,1.3733747131815806
126,1.3017602922420688
127,1.4131608019200173
128,1.3728790283032695
129,1.1918634610187013
130,1.3635646529061805
131,1.4387658825728689
132,1.3925099753273713
133,1.4362726447833511
134,1.4129055510097355
135,1.223065686733003
136,1.414681591258949
137,1.529693740474148
138,1.3316410558374336
139,1.4182678530283515
140,1.3807326013600931
141,1.3816760090128366
142,1.372199913847815
143,1.32401319016421
144,1.2133740056548432
145,1.5073461948054663
146,1.4866655107098776
147,1.3488222926486577
148,1.5256059098832897
149,1.4184338595375483
150,1.4160122690641375
151,1.2712881784058647
152,1.263520768534988
153,1.438104772160303
154,1.4735801672035194
155,1.39594842642141
156,1.440047139756017
157,1.2243232494226421
158,1.3277526905147004
159,1.4324339827316384
160,1.306624388313266
161,1.3579090399727851
162,1.3933411633904385
163,1.168283711242216
164,1.357734651978433
165,1.331635712059385
166,1.2676110931527658
167,1.4928383421775717
168,1.3316985820616292
169,1.489058297430368
170,1.3048245429535243
171,1.443164527330775
172,1.4223836662892002
173,1.4526275271583822
174,1.250833472117402
175,1.35508434257205
176,1.422047943975964
177,1.4395172015485913
178,1.323945539423613
179,1.4090990062573199
180,1.2175997485193022
181,1.5111682165607259
182,1.263901390152507
183,1.309085624741779
184,1.4261128298208656
185,1.4811561980988623
186,1.292421504236151
187,1.3840292038332374
188,1.5179481884058377
189,1.254723598032477
190,1.3086686760451085
191,1.1927365310896245
192,1.425277435114838
193,1.4092199876362947
194,1.2424482131525385
195,1.3694444268082675
196,1.188179067675164
197,1.3648857878835268
198,1.3188939788628453
199,1.3294180041379493
200,1.5169711600138491
201,1.1765341998560424
202,1.454106715206951
203,1.362347414117013
204,1.44754480087002
205,1.4761055177773659
206,1.3931346524001529
207,1.5938945401837508
208,1.471820809926867
209,1.4447765099850247
210,1.2715914382986975
211,1.3809340608535483
212,1.299438664142339
213,1.234871960920994
214,1.4100244786682852
215,1.4468507123317116
216,1.4551190931186664
217,1.3495471803001275
218,1.4398276319376366
219,1.5847750968409613
220,1.4449669192610988
221,1.2299060678831237
